community;code;site;lat;long;recruit_species;recruit_sp;genus;sp;sub_sp;nurse;n;canopy_percent;gap_percent
1;SNEV01;Sierra Nevada, low-elevation dolomites (Trevenque 1)  ;37.081306;-3.536167;Ulex_parviflorus_parviflorus;Ulex parviflorus;Ulex;parviflorus;parviflorus;open;9;38.47;61.53
1;SNEV01;Sierra Nevada, low-elevation dolomites (Trevenque 1)  ;37.081306;-3.536167;Thymus_granatensis_granatensis;Thymus granatensis;Thymus;granatensis;granatensis;open;14;38.47;61.53
1;SNEV01;Sierra Nevada, low-elevation dolomites (Trevenque 1)  ;37.081306;-3.536167;Cistus_clusii_clusii;Cistus clusii;Cistus;clusii;clusii;open;2;38.47;61.53
1;SNEV01;Sierra Nevada, low-elevation dolomites (Trevenque 1)  ;37.081306;-3.536167;Rosmarinus_officinalis;Rosmarinus officinalis;Rosmarinus;officinalis;NA;open;2;38.47;61.53
1;SNEV01;Sierra Nevada, low-elevation dolomites (Trevenque 1)  ;37.081306;-3.536167;Fumana_ericoides;Fumana ericoides;Fumana;ericoides;NA;open;65;38.47;61.53
1;SNEV01;Sierra Nevada, low-elevation dolomites (Trevenque 1)  ;37.081306;-3.536167;Rhamnus_saxatilis;Rhamnus saxatilis;Rhamnus;saxatilis;NA;open;0;38.47;61.53
1;SNEV01;Sierra Nevada, low-elevation dolomites (Trevenque 1)  ;37.081306;-3.536167;Coris_monspeliensis_monspeliensis;Coris monspeliensis;Coris;monspeliensis;monspeliensis;open;0;38.47;61.53
1;SNEV01;Sierra Nevada, low-elevation dolomites (Trevenque 1)  ;37.081306;-3.536167;Thymelaea_tartonraira_austroiberica;Thymelaea tartonraira;Thymelaea;tartonraira;austroiberica;open;1;38.47;61.53
1;SNEV01;Sierra Nevada, low-elevation dolomites (Trevenque 1)  ;37.081306;-3.536167;Linum_suffruticosum;Linum suffruticosum;Linum;suffruticosum;NA;open;0;38.47;61.53
1;SNEV01;Sierra Nevada, low-elevation dolomites (Trevenque 1)  ;37.081306;-3.536167;Arenaria_armerina_armerina;Arenaria armerina;Arenaria;armerina;armerina;open;70;38.47;61.53
