complete_specie;genus;sp;sub_sp;taxon_name
Ulex_parviflorus_parviflorus;Ulex;parviflorus;parviflorus;Ulex parviflorus parviflorus
Thymus_granatensis_granatensis;Thymus;granatensis;granatensis;Thymus granatensis granatensis
Cistus_clusii_clusii;Cistus;clusii;clusii;Cistus clusii clusii
Rosmarinus_officinalis;Rosmarinus;officinalis;NA;Rosmarinus officinalis
Fumana_ericoides;Fumana;ericoides;NA;Fumana ericoides
Rhamnus_saxatilis;Rhamnus;saxatilis;NA;Rhamnus saxatilis
Coris_monspeliensis_monspeliensis;Coris;monspeliensis;monspeliensis;Coris monspeliensis monspeliensis
Thymelaea_tartonraira_austroiberica;Thymelaea;tartonraira;austroiberica;Thymelaea tartonraira austroiberica
Linum_suffruticosum;Linum;suffruticosum;NA;Linum suffruticosum
Arenaria_armerina_armerina;Arenaria;armerina;armerina;Arenaria armerina armerina
Polygala_rupestris;Polygala;rupestris;NA;Polygala rupestris
Dianthus_brachyanthus;Dianthus;brachyanthus;NA;Dianthus brachyanthus
Paronychia_aretioides;Paronychia;aretioides;NA;Paronychia aretioides
Paronychia_suffruticosa_suffruticosa;Paronychia;suffruticosa;suffruticosa;Paronychia suffruticosa suffruticosa
Quercus_rotundifolia;Quercus;rotundifolia;NA;Quercus rotundifolia
Lavandula_lanata;Lavandula;lanata;NA;Lavandula lanata
Alyssum_serpyllifolium_serpyllifolium;Alyssum;serpyllifolium;serpyllifolium;Alyssum serpyllifolium serpyllifolium
Echinospartum_boissieri;Echinospartum;boissieri;NA;Echinospartum boissieri
Anthyllis_tejedensis_tejedensis;Anthyllis;tejedensis;tejedensis;Anthyllis tejedensis tejedensis
Helianthemum_cinereum_rotundifolium;Helianthemum;cinereum;rotundifolium;Helianthemum cinereum rotundifolium
Sideritis_incana;Sideritis;incana;NA;Sideritis incana
Helianthemum_apenninum_suffruticosum;Helianthemum;apenninum;suffruticosum;Helianthemum apenninum suffruticosum
Erinacea_anthyllis_anthyllis;Erinacea;anthyllis;anthyllis;Erinacea anthyllis anthyllis
Ononis_pusilla_pusilla;Ononis;pusilla;pusilla;Ononis pusilla pusilla
Genista_umbellata_equisetiformis;Genista;umbellata;equisetiformis;Genista umbellata equisetiformis
Lavandula_stoechas;Lavandula;stoechas;NA;Lavandula stoechas
Cistus_albidus;Cistus;albidus;NA;Cistus albidus
Thymus_mastichina_mastichina;Thymus;mastichina;mastichina;Thymus mastichina mastichina
Helichrysum_italicum_serotinum;Helichrysum;italicum;serotinum;Helichrysum italicum serotinum
Ruta_montana;Ruta;montana;NA;Ruta montana
Ptilostemon_hispanicus;Ptilostemon;hispanicus;NA;Ptilostemon hispanicus
Clematis_flammula;Clematis;flammula;NA;Clematis flammula
Teucrium_compactum;Teucrium;compactum;NA;Teucrium compactum
Genista_cinerea;Genista;cinerea;NA;Genista cinerea
Thymus_zygis_gracilis;Thymus;zygis;gracilis;Thymus zygis gracilis
Adenocarpus_decorticans;Adenocarpus;decorticans;NA;Adenocarpus decorticans
Cytisus_galianoi;Cytisus;galianoi;NA;Cytisus galianoi
Genista_versicolor;Genista;versicolor;NA;Genista versicolor
Argyrolobium_zanonii_zanonii;Argyrolobium;zanonii;zanonii;Argyrolobium zanonii zanonii
Helianthemum_syriacum;Helianthemum;syriacum;NA;Helianthemum syriacum
Halimium_atriplicifolium_atriplicifolium;Halimium;atriplicifolium;atriplicifolium;Halimium atriplicifolium atriplicifolium
Salvia_lavandulifolia_vellerea;Salvia;lavandulifolia;vellerea;Salvia lavandulifolia vellerea
Teucrium_similatum;Teucrium;similatum;NA;Teucrium similatum
Bupleurum_spinosum;Bupleurum;spinosum;NA;Bupleurum spinosum
Santolina_chamaecyparissus_chamaecyparissus;Santolina;chamaecyparissus;chamaecyparissus;Santolina chamaecyparissus chamaecyparissus
Teucrium_webbianum;Teucrium;webbianum;NA;Teucrium webbianum
Staehelina_dubia;Staehelina;dubia;NA;Staehelina dubia
Fumana_procumbens;Fumana;procumbens;NA;Fumana procumbens
Thymelaea_pubescens_elliptica;Thymelaea;pubescens;elliptica;Thymelaea pubescens elliptica
Linum_narbonense;Linum;narbonense;NA;Linum narbonense
