species;variable;perc_90;position
Acer granatense;bio01;119.004880670437;start
Acer granatense;bio01;125.168603315222;end
Acer granatense;bio02;102.796317307037;start
Acer granatense;bio02;103.999073727234;end
Acer granatense;bio03;341.007572246411;start
Acer granatense;bio03;345.874063352901;end
Acer granatense;bio04;5707.0655312334;start
Acer granatense;bio04;5765.99238400588;end
Acer granatense;bio05;252.9664648303;start
Acer granatense;bio05;258.999256112048;end
Acer granatense;bio06;-1.99644951363587;start
Acer granatense;bio06;6.23552675354892;end
Acer granatense;bio07;247.020550916588;start
Acer granatense;bio07;252.999016908974;end
Acer granatense;bio08;144.300888291456;start
Acer granatense;bio08;152.066400183803;end
Acer granatense;bio09;204.005942543636;start
Acer granatense;bio09;212.986613823994;end
Acer granatense;bio10;206.330685368514;start
Acer granatense;bio10;211.997005040147;end
Acer granatense;bio11;41.8929291454104;start
Acer granatense;bio11;47.9966998519737;end
Acer granatense;bio12;493.004044294543;start
Acer granatense;bio12;527.111009966574;end
Acer granatense;bio13;75.0039635454239;start
Acer granatense;bio13;80.6911507694643;end
Acer granatense;bio14;6.23128143102475;start
Acer granatense;bio14;7.99913864159365;end
Acer granatense;bio15;36.0010111826899;start
Acer granatense;bio15;37.8741544261582;end
Acer granatense;bio16;204.755685340169;start
Acer granatense;bio16;218.181398328299;end
Acer granatense;bio17;69.0041765843939;start
Acer granatense;bio17;74.2036971400855;end
Acer granatense;bio18;17.1648661049643;start
Acer granatense;bio18;22.9240617126102;end
Acer granatense;bio18;27.0053378307208;start
Acer granatense;bio18;29.4806844043917;end
Acer granatense;bio19;96.7310863629783;start
Acer granatense;bio19;105.203142057395;end
Acer monspessulanum;bio01;125.001641511708;start
Acer monspessulanum;bio01;128.593287538184;end
Acer monspessulanum;bio02;77.2258713604078;start
Acer monspessulanum;bio02;78.9991571570443;end
Acer monspessulanum;bio03;295.617203970124;start
Acer monspessulanum;bio03;298.99889917676;end
Acer monspessulanum;bio03;321.789475357239;start
Acer monspessulanum;bio03;323.582798572879;end
Acer monspessulanum;bio04;5769.14247832313;start
Acer monspessulanum;bio04;5865.97893911459;end
Acer monspessulanum;bio05;260.002346668127;start
Acer monspessulanum;bio05;265.525463048979;end
Acer monspessulanum;bio06;17.6007346217368;start
Acer monspessulanum;bio06;21.9952893424213;end
Acer monspessulanum;bio07;243.582741975908;start
Acer monspessulanum;bio07;248.997013124736;end
Acer monspessulanum;bio08;66.0051559958807;start
Acer monspessulanum;bio08;73.9800329564547;end
Acer monspessulanum;bio09;197.736858582665;start
Acer monspessulanum;bio09;202.991554951934;end
Acer monspessulanum;bio10;203.004242618546;start
Acer monspessulanum;bio10;207.897248519385;end
Acer monspessulanum;bio11;51.9290712612264;start
Acer monspessulanum;bio11;55.9982471601604;end
Acer monspessulanum;bio12;776.059989696368;start
