species;mode_pca1;mode_pca2;max_dens;centroid_pca1;centroid_pca2;niche_area_suit;niche_area_a
Acer granatense;0.024530391;0.847259889;0.149583121;-0.00260335;0.864376325;25.66625749;27.1404
Acer monspessulanum;-1.502491204;-0.482769479;0.112419464;-1.534067929;-0.443404507;46.076775;48.4556
Adenocarpus decorticans;0.129475453;2.069234019;0.144719567;0.163479582;2.082917198;27.22175136;28.7616
Alyssum serpyllifolium;1.152143846;1.975412323;0.152446774;1.188608415;1.971749517;48.0913207;51.1012
Amelanchier ovalis;-1.952565301;0.709794647;0.069810309;-1.909165489;0.745670485;55.68509351;57.8892
Anthyllis tejedensis;0.969793857;0.757557755;0.155379996;0.987474302;0.725233403;22.68759744;23.9496
Arbutus unedo;-1.35629717;0.46631266;0.064620684;-1.377900972;0.456343907;45.9363459;48.3816
Arenaria armerina;-0.284848952;1.454193925;0.160158642;-0.262174976;1.473974066;22.24400863;24.0384
Argyrolobium zanonii;-1.132688711;-0.171802944;0.061604734;-1.020700156;-0.106770473;36.87877324;38.3044
Artemisia barrelieri;3.216145665;0.905779332;0.234388522;3.239658494;0.920278718;12.6490179;13.5776
Artemisia campestris;-2.337088951;1.364482145;0.122622491;-2.335253248;1.285479312;109.4459855;121.5792
Artemisia campestris glutinosa;1.145888879;1.797776507;0.129753385;1.158061202;1.821010919;26.85218546;27.9956
Asparagus horridus;2.797329099;-0.689681782;0.139270172;2.817005409;-0.645278245;24.94712384;27.004
Berberis hispanica;-0.659951219;1.828655302;0.212736729;-0.629508709;1.815301408;19.99685138;21.3688
Bupleurum gibraltaricum;2.547826836;0.98064431;0.179336143;2.497626174;1.006413264;19.19778675;19.9412
Bupleurum spinosum;0.695448669;1.745545253;0.203154462;0.690235777;1.759756508;20.37464653;21.5336
Celtis australis;-1.1930081;0.604362075;0.104344833;-1.213085302;0.550667554;43.13629913;44.952
Chamaerops humilis;3.521820552;-2.104984003;0.081534026;3.330839022;-1.868800618;35.78886051;38.0748
Cistus albidus;2.528327135;1.129094504;0.105696259;2.505466931;1.150790677;28.09043715;29.2392
Cistus clusii;1.870730495;1.665570978;0.177914714;1.83994143;1.686290729;19.61952737;20.5352
Cistus crispus;3.587772247;-2.263641118;0.140244813;3.206718153;-1.765681607;24.55938903;25.5056
Cistus libanotis;3.579776364;-2.42920936;1.241502433;3.576935962;-2.44773708;4.982715804;5.6592
Cistus monspeliensis;2.996170629;-1.642151215;0.081510066;2.892171478;-1.506980667;35.87673688;37.5972
Cistus populifolius;2.334236943;1.03058386;0.082715211;2.374968296;0.967760418;31.02149529;32.4608
Cistus salviifolius;2.482158676;-0.698547465;0.064329515;2.479207386;-0.70064894;42.52782924;44.738
Clematis flammula;0.59652714;-0.539151148;0.08217932;0.646177238;-0.542545564;37.32639255;38.9536
Colutea hispanica;2.279213278;0.841935498;0.136995194;2.290888562;0.850074583;20.39239592;21.122
Coris monspeliensis;1.351832899;1.07043325;0.072053998;1.343067691;1.069427505;32.60540056;33.906
Coronilla juncea;2.58708102;0.608802199;0.103599059;2.570465077;0.527745485;22.2746058;23.3312
Cotoneaster granatensis;0.145283723;1.657232394;0.153993972;0.239463838;1.627701642;18.00521458;19.1868
Crataegus laciniata;-0.057913734;1.296649615;0.092165575;0.004779033;1.295914506;46.53390588;49.7016
Crataegus monogyna;-1.765693256;0.402203533;0.109733585;-1.966772615;0.263483694;69.55110649;73.9216
Cytisus galianoi;-1.518307196;2.235837414;0.551716396;-1.528025014;2.244343922;4.751480912;5.0672
Cytisus grandiflorus;3.62025508;-2.387323807;0.387335436;3.599525157;-2.369548339;31.55327982;33.3596
Cytisus scoparius;-2.42396188;-0.040094534;0.137746966;-2.375594372;0.039944293;56.78117673;60.5156
Daphne gnidium;2.379072215;0.851487276;0.076128849;2.403345048;0.901816405;36.07641741;37.712
Daphne laureola;-1.531981513;0.541330652;0.26116577;-1.613454307;0.530463504;44.03591849;47.8384
Dianthus brachyanthus;-0.163771577;1.860333081;0.130497217;-0.083611667;1.868531169;22.7931068;23.94
Dorycnium pentaphyllum;0.827076508;1.842079073;0.098876581;0.810751098;1.852784312;39.34566163;41.0564
Echinospartum boissieri;0.825058566;1.257538365;0.202382715;0.851394296;1.274415809;10.85726656;11.3116
Erica scoparia;-1.429291457;0.047257792;0.367193943;-1.42890246;0.074370111;31.32736728;34.1896
Erinacea anthyllis;0.398461337;1.349144512;0.17835103;0.200162506;1.35109412;16.92980999;17.7524
Fraxinus angustifolia;-1.388026158;0.29889534;0.115478849;-1.403861872;0.343716071;47.80510979;49.9172
Fumana ericoides;1.842470343;1.557243719;0.067881399;1.763155336;1.619939741;40.95080397;42.6896
Fumana laevipes;2.574844305;-0.582266884;0.139652444;2.555225511;-0.597454471;25.10301966;26.1652
Fumana procumbens;-1.623823409;0.521760019;0.171540923;-1.634903047;0.473774002;38.71011145;40.3268
Fumana thymifolia;1.866118795;1.724098464;0.085216062;1.90952018;1.714974801;39.50896341;41.2636
Genista cinerea;-1.773592453;0.919684346;0.077553828;-1.776771801;0.86895797;38.57836536;40.4292
Genista scorpius;1.1459738;1.994132757;0.136763115;1.042758712;1.968980734;33.10827976;34.8292
Genista umbellata;3.232227947;0.033447926;0.121225563;3.257304549;0.031745985;15.58156486;16.2964
Genista versicolor;-0.545923271;1.874527363;0.214236656;-0.339352785;1.92443476;10.81514955;11.3632
Halimium atriplicifolium;1.852099559;1.220913849;0.131942499;1.887249378;1.245648554;26.47917388;27.4612
Halimium calycinum;3.639339775;-2.420096411;0.774851263;3.61616692;-2.424074373;12.20552571;13.2636
Halimium commutatum;3.58474847;-2.543127794;3.451618337;3.585175936;-2.536814829;1.836926188;2.1324
Halimium halimifolium;3.660892671;-2.209790329;0.247839564;3.632492569;-2.202859682;29.39635297;30.9068
Helianthemum almeriense;4.301049314;0.176030899;0.30886708;4.316786794;0.163180547;9.159316521;9.7536
