plot;plot_code;nurse;nurse_code;oc_bio01;oc_bio02;oc_bio03;oc_bio04;oc_bio05;oc_bio06;oc_bio07;oc_bio08;oc_bio09;oc_bio10;oc_bio11;oc_bio12;oc_bio13;oc_bio14;oc_bio15;oc_bio16;oc_bio17;oc_bio18;oc_bio19;cic_bio01;cd_abs_bio01;cd_bio01;cic_bio02;cd_abs_bio02;cd_bio02;cic_bio03;cd_abs_bio03;cd_bio03;cic_bio04;cd_abs_bio04;cd_bio04;cic_bio05;cd_abs_bio05;cd_bio05;cic_bio06;cd_abs_bio06;cd_bio06;cic_bio07;cd_abs_bio07;cd_bio07;cic_bio08;cd_abs_bio08;cd_bio08;cic_bio09;cd_abs_bio09;cd_bio09;cic_bio10;cd_abs_bio10;cd_bio10;cic_bio11;cd_abs_bio11;cd_bio11;cic_bio12;cd_abs_bio12;cd_bio12;cic_bio13;cd_abs_bio13;cd_bio13;cic_bio14;cd_abs_bio14;cd_bio14;cic_bio15;cd_abs_bio15;cd_bio15;cic_bio16;cd_abs_bio16;cd_bio16;cic_bio17;cd_abs_bio17;cd_bio17;cic_bio18;cd_abs_bio18;cd_bio18;cic_bio19;cd_abs_bio19;cd_bio19
1;SNEV01;open;SNEV01_open;117;104;349;6270;279;-18;297;55;212;212;38;588;91;3;58;262;11;11;245;124.083771278716;7.08377127871641;7.08377127871641;96.7112031326505;-7.2887968673495;-7.2887968673495;342.68359997233;-6.31640002766966;-6.31640002766966;6093.46875469012;-176.531245309881;-176.531245309881;275.73467172625;-3.26532827374967;-3.26532827374967;-1.20200912867095;-16.797990871329;16.797990871329;282.335630547902;-14.6643694520984;-14.6643694520984;104.815291046494;49.8152910464943;49.8152910464943;214.896511567233;2.89651156723272;2.89651156723272;217.430257354433;5.43025735443319;5.43025735443319;44.9587652052633;6.95876520526334;6.95876520526334;543.536426572572;-44.4635734274278;-44.4635734274278;80.7260372123157;-10.2739627876843;-10.2739627876843;5.51313479581645;2.51313479581645;2.51313479581645;45.1968911742909;-12.8031088257091;-12.8031088257091;229.029334182369;-32.970665817631;-32.970665817631;24.5834039211764;13.5834039211764;13.5834039211764;21.1866408367842;10.1866408367842;10.1866408367842;173.57336595357;-71.4266340464299;-71.4266340464299
2;SNEV02;open;SNEV02_open;99;104;352;6199;259;-36;295;37;192;192;20;614;93;4;58;269;14;14;251;128.337489995488;29.3374899954883;29.3374899954883;95.4357995904021;-8.56420040959786;-8.56420040959786;342.029941755973;-9.97005824402714;-9.97005824402714;6043.99871116374;-155.001288836259;-155.001288836259;278.996020344837;19.9960203448372;19.9960203448372;3.11731618877456;-32.8826838112254;39.1173161887746;279.914248455151;-15.0857515448487;-15.0857515448487;112.999475102193;75.9994751021928;75.9994751021928;219.199239731729;27.1992397317292;27.1992397317292;221.753934227282;29.7539342272822;29.7539342272822;48.8657899824905;28.8657899824905;28.8657899824905;531.100991983698;-82.8990080163023;-82.8990080163023;77.8789416660866;-15.1210583339134;-15.1210583339134;5.36575365622145;1.36575365622145;1.36575365622145;43.9763815933065;-14.0236184066935;-14.0236184066935;220.42143773511;-48.5785622648896;-48.5785622648896;23.7863283958769;9.78632839587685;9.78632839587685;20.1184045749702;6.11840457497023;6.11840457497023;165.403692944871;-85.5963070551294;-85.5963070551294
3;SNEV03;open;SNEV03_open;81;104;354;6132;240;-53;293;21;173;173;3;632;95;4;57;275;14;14;255;130.728383434325;49.7283834343253;49.7283834343253;94.1755094904659;-9.82449050953414;-9.82449050953414;338.857575499895;-15.1424245001049;-15.1424245001049;5934.46745725564;-197.532542744361;-197.532542744361;281.568498533011;41.5684985330109;41.5684985330109;13.6729350059248;-39.3270649940752;66.6729350059248;282.020914416079;-10.9790855839209;-10.9790855839209;102.020119315186;81.0201193151858;81.0201193151858;222.895939796744;49.8959397967438;49.8959397967438;221.378735106811;48.3787351068111;48.3787351068111;54.3057540156084;51.3057540156084;51.3057540156084;528.102152639214;-103.897847360786;-103.897847360786;63.0456434718027;-31.9543565281973;-31.9543565281973;9.51451397655888;5.51451397655888;5.51451397655888;33.8879557255908;-23.1120442744092;-23.1120442744092;177.266894413424;-97.7331055865762;-97.7331055865762;35.7944746710808;21.7944746710808;21.7944746710808;35.7545538534149;21.7545538534149;21.7545538534149;126.368433744301;-128.631566255699;-128.631566255699
4;SNEV04;open;SNEV04_open;115;96;340;6082;267;-14;281;55;207;207;38;417;60;4;50;175;18;18;160;154.630122527296;39.6301225272956;39.6301225272956;98.959883322057;2.95988332205701;2.95988332205701;342.039639625174;2.03963962517412;2.03963962517412;5902.30060690384;-179.699393096155;-179.699393096155;297.730807148759;30.7308071487589;30.7308071487589;26.1009065609765;12.1009065609765;40.1009065609765;291.933467861668;10.9334678616681;10.9334678616681;106.955354519986;51.9553545199862;51.9553545199862;243.543679469486;36.5436794694861;36.5436794694861;247.887992400399;40.8879924003992;40.8879924003992;73.250402936349;35.250402936349;35.250402936349;566.739206612956;149.739206612956;149.739206612956;83.4363079387489;23.4363079387489;23.4363079387489;4.29255708877569;0.292557088775689;0.292557088775689;47.367067968447;-2.63293203155303;-2.63293203155303;234.924710020693;59.9247100206934;59.9247100206934;15.5342192159862;-2.46578078401381;-2.46578078401381;15.0962523787683;-2.90374762123166;-2.90374762123166;163.852456096332;3.85245609633228;3.85245609633228
5;SNEV05;open;SNEV05_open;94;97;344;6049;246;-36;282;34;185;185;17;433;60;5;49;177;19;19;162;126.391699072482;32.3916990724823;32.3916990724823;99.1235925365026;2.12359253650261;2.12359253650261;335.963544653951;-8.03645534604937;-8.03645534604937;6403.51264040831;354.512640408306;354.512640408306;284.692565472156;38.6925654721564;38.6925654721564;-3.27666245602666;-32.7233375439733;32.7233375439733;295.399506082146;13.3995060821458;13.3995060821458;73.6254051734289;39.6254051734289;39.6254051734289;225.81585559264;40.8158555926399;40.8158555926399;227.083006947677;42.083006947677;42.083006947677;45.1637348481729;28.1637348481729;28.1637348481729;599.174265651287;166.174265651287;166.174265651287;81.7939682222453;21.7939682222453;21.7939682222453;4.48021641709474;-0.519783582905261;-0.519783582905261;46.9066185552412;-2.09338144475884;-2.09338144475884;235.712991797769;58.7129917977685;58.7129917977685;16.7303114721293;-2.26968852787071;-2.26968852787071;16.7501639276155;-2.24983607238446;-2.24983607238446;214.545307294342;52.5453072943416;52.5453072943416
6;SNEV06;open;SNEV06_open;67;99;349;5994;219;-63;282;8;157;157;-9;581;80;5;53;230;19;19;223;82.7593855813259;15.7593855813259;15.7593855813259;100.042671835819;1.04267183581865;1.04267183581865;349.369960892581;0.36996089258065;0.36996089258065;5981.16732809098;-12.8326719090164;-12.8326719090164;233.360577550103;14.3605775501026;14.3605775501026;-46.1686374611124;-16.8313625388876;16.8313625388876;282.563135133331;0.563135133330775;0.563135133330775;24.8348396244462;16.8348396244462;16.8348396244462;172.915343849413;15.9153438494129;15.9153438494129;172.813107211019;15.8131072110192;15.8131072110192;5.74650599208169;-3.25349400791831;14.7465059920817;578.71616439456;-2.28383560544046;-2.28383560544046;76.2831737575359;-3.71682624246411;-3.71682624246411;5.18691029777136;0.186910297771361;0.186910297771361;48.5717265564131;-4.42827344358693;-4.42827344358693;218.878796832879;-11.1212031671206;-11.1212031671206;19.5459935015977;0.545993501597735;0.545993501597735;19.2690297303123;0.269029730312322;0.269029730312322;207.816176662838;-15.1838233371625;-15.1838233371625
7;SNEV07;open;SNEV07_open;111;103;350;6192;271;-23;294;50;204;204;32;628;99;4;58;285;14;14;263;142.303690339846;31.3036903398464;31.3036903398464;94.5252767768007;-8.47472322319928;-8.47472322319928;339.552245105107;-10.4477548948927;-10.4477548948927;5844.49918449152;-347.500815508482;-347.500815508482;286.05603915025;15.0560391502498;15.0560391502498;18.1327163626527;-4.86728363734735;41.1327163626527;272.374621435376;-21.6253785646239;-21.6253785646239;144.168588196434;94.1685881964343;94.1685881964343;231.718101149258;27.718101149258;27.718101149258;235.646056430636;31.6460564306364;31.6460564306364;62.4179568853139;30.4179568853139;30.4179568853139;510.018144281616;-117.981855718384;-117.981855718384;74.7837632353161;-24.2162367646839;-24.2162367646839;7.05444215882124;3.05444215882124;3.05444215882124;42.2684662343819;-15.7315337656181;-15.7315337656181;208.562340233426;-76.4376597665742;-76.4376597665742;31.645785769494;17.645785769494;17.645785769494;29.5514957713757;15.5514957713757;15.5514957713757;132.005401621387;-130.994598378613;-130.994598378613
8;SNEV08;open;SNEV08_open;99;103;352;6157;257;-35;293;37;191;191;20;638;99;4;58;285;14;14;265;134.945314266273;35.9453142662734;35.9453142662734;95.3631131054293;-7.63688689457071;-7.63688689457071;339.912213217013;-12.0877867829868;-12.0877867829868;5929.60303911116;-227.396960888836;-227.396960888836;281.650025930771;24.6500259307712;24.6500259307712;13.3676680134528;-21.6323319865472;48.3676680134528;277.082504001179;-15.9174959988212;-15.9174959988212;125.400780066092;88.4007800660921;88.4007800660921;225.186698766284;34.1866987662837;34.1866987662837;227.394087961042;36.3940879610423;36.3940879610423;56.8205615688223;36.8205615688223;36.8205615688223;524.470023788556;-113.529976211444;-113.529976211444;72.848646454459;-26.151353545541;-26.151353545541;8.39884860891638;4.39884860891638;4.39884860891638;41.178430734593;-16.821569265407;-16.821569265407;203.988647702606;-81.0113522973942;-81.0113522973942;31.6647284772108;17.6647284772108;17.6647284772108;28.9736423958773;14.9736423958773;14.9736423958773;136.879827137754;-128.120172862246;-128.120172862246
9;SNEV09;open;SNEV09_open;109;105;350;6302;272;-27;299;46;204;204;29;615;92;4;58;269;12;12;252;128.345436915541;19.3454369155415;19.3454369155415;97.9409747103668;-7.05902528963324;-7.05902528963324;341.653240597891;-8.3467594021094;-8.3467594021094;6002.23995396979;-299.760046030206;-299.760046030206;281.894993745634;9.89499374563394;9.89499374563394;5.3282286109345;-21.6717713890655;32.3282286109345;282.73037684006;-16.2696231599402;-16.2696231599402;91.7286893088602;45.7286893088602;45.7286893088602;220.2980222727;16.2980222727;16.2980222727;220.283242226967;16.2832422269669;16.2832422269669;51.1272063747062;22.1272063747062;22.1272063747062;558.803964868565;-56.1960351314349;-56.1960351314349;77.0657598323948;-14.9342401676052;-14.9342401676052;6.48629378826802;2.48629378826802;2.48629378826802;46.4853668473551;-11.5146331526449;-11.5146331526449;221.824288606539;-47.1757113934607;-47.1757113934607;27.614463155445;15.614463155445;15.614463155445;27.6126886421091;15.6126886421091;15.6126886421091;182.564437391653;-69.435562608347;-69.435562608347
10;SNEV10;open;SNEV10_open;95;104;352;6222;256;-40;296;33;189;189;16;612;91;4;57;265;14;14;249;136.020053324294;41.0200533242943;41.0200533242943;95.4256793450331;-8.57432065496687;-8.57432065496687;339.141522468181;-12.8584775318194;-12.8584775318194;5930.46519522097;-291.53480477903;-291.53480477903;283.743144067267;27.7431440672668;27.7431440672668;12.408000541187;-27.591999458813;52.408000541187;281.993302295504;-14.0066977044963;-14.0066977044963;126.877100811564;93.877100811564;93.877100811564;228.337520884225;39.3375208842247;39.3375208842247;229.514544376322;40.5145443763223;40.5145443763223;56.0973085662816;40.0973085662816;40.0973085662816;526.391049319625;-85.6089506803747;-85.6089506803747;69.1038744132642;-21.8961255867358;-21.8961255867358;8.2541269778754;4.2541269778754;4.2541269778754;37.4974418439352;-19.5025581560648;-19.5025581560648;197.497173236978;-67.5028267630216;-67.5028267630216;31.9764284277343;17.9764284277343;17.9764284277343;30.5383051038767;16.5383051038767;16.5383051038767;134.250610249987;-114.749389750013;-114.749389750013
