plot;plot_code;nurse;nurse_code;oc_bio01;oc_bio02;oc_bio03;oc_bio04;oc_bio05;oc_bio06;oc_bio07;oc_bio08;oc_bio09;oc_bio10;oc_bio11;oc_bio12;oc_bio13;oc_bio14;oc_bio15;oc_bio16;oc_bio17;oc_bio18;oc_bio19;cic_bio01;cd_abs_bio01;cd_bio01;cic_bio02;cd_abs_bio02;cd_bio02;cic_bio03;cd_abs_bio03;cd_bio03;cic_bio04;cd_abs_bio04;cd_bio04;cic_bio05;cd_abs_bio05;cd_bio05;cic_bio06;cd_abs_bio06;cd_bio06;cic_bio07;cd_abs_bio07;cd_bio07;cic_bio08;cd_abs_bio08;cd_bio08;cic_bio09;cd_abs_bio09;cd_bio09;cic_bio10;cd_abs_bio10;cd_bio10;cic_bio11;cd_abs_bio11;cd_bio11;cic_bio12;cd_abs_bio12;cd_bio12;cic_bio13;cd_abs_bio13;cd_bio13;cic_bio14;cd_abs_bio14;cd_bio14;cic_bio15;cd_abs_bio15;cd_bio15;cic_bio16;cd_abs_bio16;cd_bio16;cic_bio17;cd_abs_bio17;cd_bio17;cic_bio18;cd_abs_bio18;cd_bio18;cic_bio19;cd_abs_bio19;cd_bio19
1;SNEV01;open;SNEV01_open;117;104;349;6270;279;-18;297;55;212;212;38;588;91;3;58;262;11;11;245;122.724304801632;5.72430480163204;5.72430480163204;94.9945046950904;-9.00549530490962;-9.00549530490962;343.068973720826;-5.93102627917369;-5.93102627917369;6073.93575189744;-196.064248102562;-196.064248102562;274.946430682515;-4.05356931748452;-4.05356931748452;-1.80781528339735;-16.1921847166026;16.1921847166026;282.843250225995;-14.1567497740053;-14.1567497740053;105.894114822816;50.8941148228158;50.8941148228158;214.349133517171;2.3491335171706;2.3491335171706;217.374037944773;5.37403794477325;5.37403794477325;43.9363523981404;5.93635239814044;5.93635239814044;541.200461424657;-46.7995385753431;-46.7995385753431;84.7570046240794;-6.24299537592056;-6.24299537592056;4.75836476395853;1.75836476395853;1.75836476395853;45.5091955478003;-12.4908044521997;-12.4908044521997;210.313860264089;-51.6861397359108;-51.6861397359108;17.7908805515213;6.79088055152126;6.79088055152126;17.9215571658065;6.92155716580653;6.92155716580653;170.93018261276;-74.0698173872401;-74.0698173872401
2;SNEV02;open;SNEV02_open;99;104;352;6199;259;-36;295;37;192;192;20;614;93;4;58;269;14;14;251;127.273255907978;28.2732559079777;28.2732559079777;93.7704689774138;-10.2295310225862;-10.2295310225862;342.475808153969;-9.52419184603133;-9.52419184603133;6022.46102688734;-176.538973112657;-176.538973112657;278.215191541553;19.2151915415533;19.2151915415533;2.52173225908557;-33.4782677409144;38.5217322590856;280.103173305076;-14.8968266949237;-14.8968266949237;113.414997644993;76.4149976449928;76.4149976449928;218.372587868169;26.3725878681686;26.3725878681686;221.409761623325;29.4097616233247;29.4097616233247;47.8620765614403;27.8620765614403;27.8620765614403;528.294995449968;-85.705004550032;-85.705004550032;81.3524945351503;-11.6475054648497;-11.6475054648497;4.36380115666279;0.363801156662786;0.363801156662786;44.3267178717031;-13.6732821282969;-13.6732821282969;201.904026891169;-67.0959731088309;-67.0959731088309;16.6778023140755;2.67780231407551;2.67780231407551;16.7201961657531;2.72019616575309;2.72019616575309;163.50482589515;-87.49517410485;-87.49517410485
3;SNEV03;open;SNEV03_open;81;104;354;6132;240;-53;293;21;173;173;3;632;95;4;57;275;14;14;255;130.029846553911;49.0298465539111;49.0298465539111;94.3043864398258;-9.69561356017422;-9.69561356017422;336.898278471565;-17.1017215284347;-17.1017215284347;5859.66436384505;-272.335636154949;-272.335636154949;281.394079954655;41.394079954655;41.394079954655;16.7793864148408;-36.2206135851592;69.7793864148408;288.021375672949;-4.97862432705102;-4.97862432705102;92.3044366621153;71.3044366621153;71.3044366621153;222.335065661447;49.3350656614469;49.3350656614469;221.878760964008;48.8787609640082;48.8787609640082;54.0285009926381;51.0285009926381;51.0285009926381;515.945180783316;-116.054819216684;-116.054819216684;59.709153079377;-35.290846920623;-35.290846920623;10.0597386974014;6.05973869740136;6.05973869740136;31.6596146537879;-25.3403853462121;-25.3403853462121;169.116310955233;-105.883689044767;-105.883689044767;34.6975550430018;20.6975550430018;20.6975550430018;29.9619742449844;15.9619742449844;15.9619742449844;128.813156672615;-126.186843327385;-126.186843327385
4;SNEV04;open;SNEV04_open;115;96;340;6082;267;-14;281;55;207;207;38;417;60;4;50;175;18;18;160;153.3759125506;38.3759125506003;38.3759125506003;99.2284307188606;3.22843071886062;3.22843071886062;343.15732101679;3.15732101678952;3.15732101678952;5893.00596182115;-188.994038178848;-188.994038178848;297.512890458885;30.5128904588848;30.5128904588848;25.8879963523104;11.8879963523104;39.8879963523104;294.953984711849;13.9539847118489;13.9539847118489;99.0256349766111;44.0256349766111;44.0256349766111;242.599200846378;35.5992008463782;35.5992008463782;247.884124518014;40.8841245180142;40.8841245180142;72.4249511266463;34.4249511266463;34.4249511266463;575.818078273445;158.818078273445;158.818078273445;83.6230562678313;23.6230562678313;23.6230562678313;4.23047070097098;0.230470700970985;0.230470700970985;45.37145910585;-4.62854089415004;-4.62854089415004;229.501967014536;54.5019670145363;54.5019670145363;15.1259961232545;-2.87400387674546;-2.87400387674546;14.5684068632551;-3.43159313674491;-3.43159313674491;159.052026407233;-0.947973592766658;-0.947973592766658
5;SNEV05;open;SNEV05_open;94;97;344;6049;246;-36;282;34;185;185;17;433;60;5;49;177;19;19;162;121.552329033342;27.5523290333418;27.5523290333418;99.2780390129605;2.27803901296052;2.27803901296052;336.597462136872;-7.40253786312849;-7.40253786312849;6441.77884478048;392.778844780475;392.778844780475;284.210553795236;38.2105537952355;38.2105537952355;-8.53353031543737;-27.4664696845626;27.4664696845626;295.603093728964;13.6030937289639;13.6030937289639;75.0197723610041;41.0197723610041;41.0197723610041;225.821564868237;40.8215648682372;40.8215648682372;226.833462542538;41.833462542538;41.833462542538;42.8074226941614;25.8074226941614;25.8074226941614;593.834880258829;160.834880258829;160.834880258829;82.6288855754079;22.6288855754079;22.6288855754079;4.55016404135654;-0.449835958643462;-0.449835958643462;47.3600406953878;-1.63995930461216;-1.63995930461216;236.314186854015;59.3141868540148;59.3141868540148;16.4950932859982;-2.50490671400181;-2.50490671400181;16.5105052063199;-2.4894947936801;-2.4894947936801;211.991394084655;49.9913940846554;49.9913940846554
6;SNEV06;open;SNEV06_open;67;99;349;5994;219;-63;282;8;157;157;-9;581;80;5;53;230;19;19;223;83.0088608565785;16.0088608565785;16.0088608565785;99.4991881365445;0.499188136544461;0.499188136544461;349.380801854221;0.380801854221261;0.380801854221261;5990.20208945801;-3.79791054199359;-3.79791054199359;234.136616195512;15.1366161955119;15.1366161955119;-45.6157134376658;-17.3842865623342;17.3842865623342;282.882931981858;0.882931981858235;0.882931981858235;30.9802591848047;22.9802591848047;22.9802591848047;173.135279216634;16.1352792166337;16.1352792166337;173.427389052966;16.4273890529664;16.4273890529664;5.94412151116324;-3.05587848883676;14.9441215111632;586.806385396537;5.80638539653705;5.80638539653705;76.3903486348621;-3.60965136513794;-3.60965136513794;5.03618472382506;0.0361847238250599;0.0361847238250599;49.2710794176635;-3.7289205823365;-3.7289205823365;219.452033547096;-10.5479664529041;-10.5479664529041;18.759084733868;-0.240915266132038;-0.240915266132038;18.7543435628318;-0.245656437168215;-0.245656437168215;208.148085235742;-14.8519147642577;-14.8519147642577
7;SNEV07;open;SNEV07_open;111;103;350;6192;271;-23;294;50;204;204;32;628;99;4;58;285;14;14;263;140.678366198671;29.6783661986713;29.6783661986713;93.698997706804;-9.30100229319599;-9.30100229319599;339.630244684162;-10.3697553158382;-10.3697553158382;5817.8896768295;-374.110323170496;-374.110323170496;285.526873623152;14.5268736231523;14.5268736231523;17.6131316274133;-5.38686837258669;40.6131316274133;277.195128452992;-16.8048715470076;-16.8048715470076;145.249321180829;95.2493211808293;95.2493211808293;232.53367173053;28.5336717305296;28.5336717305296;236.515489212682;32.515489212682;32.515489212682;59.6019894584598;27.6019894584598;27.6019894584598;503.422374842368;-124.577625157632;-124.577625157632;80.8620239750295;-18.1379760249705;-18.1379760249705;6.36403140769566;2.36403140769566;2.36403140769566;43.3634427585616;-14.6365572414384;-14.6365572414384;195.074008715993;-89.9259912840073;-89.9259912840073;25.6627751972765;11.6627751972765;11.6627751972765;26.9682320474138;12.9682320474138;12.9682320474138;128.108937214069;-134.891062785931;-134.891062785931
8;SNEV08;open;SNEV08_open;99;103;352;6157;257;-35;293;37;191;191;20;638;99;4;58;285;14;14;265;134.693809374938;35.6938093749382;35.6938093749382;94.5330476969282;-8.46695230307178;-8.46695230307178;338.940662773292;-13.0593372267077;-13.0593372267077;5897.04568439552;-259.95431560448;-259.95431560448;280.736907784169;23.7369077841686;23.7369077841686;13.5796171999569;-21.4203828000431;48.5796171999569;281.515353999006;-11.4846460009942;-11.4846460009942;125.445874771298;88.445874771298;88.445874771298;224.968883051598;33.9688830515981;33.9688830515981;228.0244291641;37.0244291640998;37.0244291640998;54.7902347593193;34.7902347593193;34.7902347593193;522.316063876167;-115.683936123833;-115.683936123833;73.8320807900517;-25.1679192099483;-25.1679192099483;8.08298352072842;4.08298352072842;4.08298352072842;39.9769766381716;-18.0230233618284;-18.0230233618284;193.560305896946;-91.4396941030541;-91.4396941030541;28.3933200667352;14.3933200667352;14.3933200667352;24.7136828370215;10.7136828370215;10.7136828370215;132.424876810024;-132.575123189976;-132.575123189976
9;SNEV09;open;SNEV09_open;109;105;350;6302;272;-27;299;46;204;204;29;615;92;4;58;269;12;12;252;127.790066572993;18.7900665729929;18.7900665729929;98.4806436320605;-6.51935636793954;-6.51935636793954;340.936967912909;-9.06303208709136;-9.06303208709136;5983.99666263399;-318.003337366008;-318.003337366008;282.107288408078;10.1072884080783;10.1072884080783;6.80369369133984;-20.1963063086602;33.8036936913398;285.249390216192;-13.7506097838085;-13.7506097838085;85.6546521200255;39.6546521200255;39.6546521200255;220.395512004058;16.3955120040584;16.3955120040584;221.020832685331;17.0208326853313;17.0208326853313;51.0563381944881;22.0563381944881;22.0563381944881;557.038262234703;-57.9617377652972;-57.9617377652972;78.5446872584463;-13.4553127415537;-13.4553127415537;6.3567009674399;2.3567009674399;2.3567009674399;48.4712210695856;-9.5287789304144;-9.5287789304144;225.078306273746;-43.9216937262538;-43.9216937262538;26.5040181111231;14.5040181111231;14.5040181111231;26.9331886949589;14.9331886949589;14.9331886949589;184.418255664636;-67.5817443353643;-67.5817443353643
10;SNEV10;open;SNEV10_open;95;104;352;6222;256;-40;296;33;189;189;16;612;91;4;57;265;14;14;249;134.658739246209;39.6587392462093;39.6587392462093;96.0361622694124;-7.96383773058756;-7.96383773058756;338.736270176511;-13.2637298234889;-13.2637298234889;5933.59206943006;-288.407930569935;-288.407930569935;282.612402354745;26.6124023547451;26.6124023547451;12.7641755058592;-27.2358244941408;52.7641755058592;288.533858268873;-7.46614173112721;-7.46614173112721;123.774186438181;90.7741864381806;90.7741864381806;227.947505593582;38.9475055935822;38.9475055935822;228.698747954061;39.6987479540612;39.6987479540612;55.3811356072524;39.3811356072524;39.3811356072524;518.978554920231;-93.0214450797687;-93.0214450797687;70.2291736028107;-20.7708263971893;-20.7708263971893;8.22489710573265;4.22489710573265;4.22489710573265;37.6720556810126;-19.3279443189874;-19.3279443189874;203.037096762937;-61.9629032370635;-61.9629032370635;28.8850513220405;14.8850513220405;14.8850513220405;26.1478203210922;12.1478203210922;12.1478203210922;134.565350849809;-114.434649150191;-114.434649150191
