plot;plot_code;nurse;nurse_code;oc_bio01;oc_bio02;oc_bio03;oc_bio04;oc_bio05;oc_bio06;oc_bio07;oc_bio08;oc_bio09;oc_bio10;oc_bio11;oc_bio12;oc_bio13;oc_bio14;oc_bio15;oc_bio16;oc_bio17;oc_bio18;oc_bio19;cic_bio01;cd_abs_bio01;cd_bio01;cic_bio02;cd_abs_bio02;cd_bio02;cic_bio03;cd_abs_bio03;cd_bio03;cic_bio04;cd_abs_bio04;cd_bio04;cic_bio05;cd_abs_bio05;cd_bio05;cic_bio06;cd_abs_bio06;cd_bio06;cic_bio07;cd_abs_bio07;cd_bio07;cic_bio08;cd_abs_bio08;cd_bio08;cic_bio09;cd_abs_bio09;cd_bio09;cic_bio10;cd_abs_bio10;cd_bio10;cic_bio11;cd_abs_bio11;cd_bio11;cic_bio12;cd_abs_bio12;cd_bio12;cic_bio13;cd_abs_bio13;cd_bio13;cic_bio14;cd_abs_bio14;cd_bio14;cic_bio15;cd_abs_bio15;cd_bio15;cic_bio16;cd_abs_bio16;cd_bio16;cic_bio17;cd_abs_bio17;cd_bio17;cic_bio18;cd_abs_bio18;cd_bio18;cic_bio19;cd_abs_bio19;cd_bio19
1;SNEV01;open;SNEV01_open;117;104;349;6270;279;-18;297;55;212;212;38;588;91;3;58;262;11;11;245;121.851525996587;4.85152599658696;4.85152599658696;95.4665396748424;-8.53346032515765;-8.53346032515765;344.549747082297;-4.45025291770276;-4.45025291770276;6131.22265287173;-138.777347128274;-138.777347128274;276.861296894223;-2.13870310577664;-2.13870310577664;-2.17349340205537;-15.8265065979446;15.8265065979446;283.964909131393;-13.0350908686069;-13.0350908686069;104.817776890074;49.8177768900739;49.8177768900739;214.441742873078;2.44174287307848;2.44174287307848;217.403194969397;5.40319496939739;5.40319496939739;43.3783072117193;5.37830721171935;5.37830721171935;546.285233534272;-41.7147664657278;-41.7147664657278;86.9780654208456;-4.02193457915445;-4.02193457915445;4.19152609835512;1.19152609835512;1.19152609835512;46.7456612174734;-11.2543387825266;-11.2543387825266;244.212053476067;-17.7879465239325;-17.7879465239325;15.7198039234546;4.71980392345455;4.71980392345455;15.7348293532378;4.73482935323785;4.73482935323785;174.157514342671;-70.8424856573294;-70.8424856573294
2;SNEV02;open;SNEV02_open;99;104;352;6199;259;-36;295;37;192;192;20;614;93;4;58;269;14;14;251;124.166024346693;25.1660243466932;25.1660243466932;94.4388396863475;-9.56116031365251;-9.56116031365251;344.092845654659;-7.9071543453407;-7.9071543453407;6085.33509012172;-113.664909878275;-113.664909878275;275.18509980789;16.1850998078897;16.1850998078897;-0.692256145019408;-35.3077438549806;35.3077438549806;281.652217557947;-13.3477824420526;-13.3477824420526;109.294819084018;72.294819084018;72.294819084018;215.13275130471;23.1327513047095;23.1327513047095;218.429913547026;26.4299135470263;26.4299135470263;44.424700009442;24.424700009442;24.424700009442;542.266539120008;-71.7334608799924;-71.7334608799924;84.5224484951931;-8.47755150480691;-8.47755150480691;4.03394626611179;0.0339462661117889;0.0339462661117889;45.2865976098514;-12.7134023901486;-12.7134023901486;237.526487347352;-31.4735126526485;-31.4735126526485;14.7857461369901;0.785746136990117;0.785746136990117;14.7225439203188;0.722543920318806;0.722543920318806;169.079623120026;-81.9203768799738;-81.9203768799738
3;SNEV03;open;SNEV03_open;81;104;354;6132;240;-53;293;21;173;173;3;632;95;4;57;275;14;14;255;127.486020453903;46.4860204539025;46.4860204539025;94.701260683687;-9.29873931631305;-9.29873931631305;339.446726497854;-14.5532735021463;-14.5532735021463;5913.44886490853;-218.551135091467;-218.551135091467;278.334167689944;38.3341676899436;38.3341676899436;13.1863272637719;-39.8136727362281;66.1863272637719;288.695177791785;-4.30482220821511;-4.30482220821511;87.2765084163786;66.2765084163786;66.2765084163786;218.754949179733;45.7549491797328;45.7549491797328;218.64930268456;45.6493026845601;45.6493026845601;51.2510602372371;48.2510602372371;48.2510602372371;529.950678742162;-102.049321257838;-102.049321257838;65.004436024978;-29.995563975022;-29.995563975022;7.17184679586128;3.17184679586128;3.17184679586128;34.7291762315862;-22.2708237684138;-22.2708237684138;177.856192982539;-97.1438070174613;-97.1438070174613;26.9617650631099;12.9617650631099;12.9617650631099;27.0146575753396;13.0146575753396;13.0146575753396;135.614844673795;-119.385155326205;-119.385155326205
4;SNEV04;open;SNEV04_open;115;96;340;6082;267;-14;281;55;207;207;38;417;60;4;50;175;18;18;160;150.498303681511;35.4983036815106;35.4983036815106;98.8992310761122;2.89923107611222;2.89923107611222;341.963234634358;1.963234634358;1.963234634358;5930.73006031255;-151.269939687451;-151.269939687451;294.098757746521;27.0987577465208;27.0987577465208;22.6501288236514;8.65012882365135;36.6501288236514;292.381868744034;11.3818687440335;11.3818687440335;94.1743817164805;39.1743817164805;39.1743817164805;239.960552579562;32.9605525795619;32.9605525795619;245.438312270838;38.4383122708377;38.4383122708377;68.1690130181776;30.1690130181776;30.1690130181776;558.608946320469;141.608946320469;141.608946320469;79.6345839009433;19.6345839009433;19.6345839009433;4.06428570017246;0.0642857001724551;0.0642857001724551;45.766809396605;-4.23319060339502;-4.23319060339502;220.668013497948;45.6680134979477;45.6680134979477;15.5160581825086;-2.48394181749135;-2.48394181749135;15.5746320415018;-2.42536795849822;-2.42536795849822;158.36323047569;-1.63676952430987;-1.63676952430987
5;SNEV05;open;SNEV05_open;94;97;344;6049;246;-36;282;34;185;185;17;433;60;5;49;177;19;19;162;118.1107570539;24.1107570539005;24.1107570539005;99.4315988014861;2.43159880148613;2.43159880148613;335.668952772067;-8.33104722793274;-8.33104722793274;6411.80160920454;362.801609204545;362.801609204545;280.154989346097;34.1549893460968;34.1549893460968;-11.3301220089524;-24.6698779910476;24.6698779910476;294.948281240366;12.9482812403658;12.9482812403658;71.4270674745526;37.4270674745526;37.4270674745526;222.355923559847;37.3559235598468;37.3559235598468;223.358792018096;38.3587920180965;38.3587920180965;39.766455654685;22.766455654685;22.766455654685;578.870236925822;145.870236925822;145.870236925822;79.5760965716666;19.5760965716666;19.5760965716666;4.8051100828385;-0.194889917161502;-0.194889917161502;46.8358489660223;-2.16415103397771;-2.16415103397771;228.151887370243;51.1518873702434;51.1518873702434;17.4791543667554;-1.52084563324461;-1.52084563324461;17.4818633360403;-1.5181366639597;-1.5181366639597;205.15433718788;43.1543371878795;43.1543371878795
6;SNEV06;open;SNEV06_open;67;99;349;5994;219;-63;282;8;157;157;-9;581;80;5;53;230;19;19;223;80.0725823622367;13.0725823622367;13.0725823622367;99.4738878963356;0.473887896335611;0.473887896335611;348.979913063049;-0.0200869369505767;-0.0200869369505767;5999.39299113355;5.39299113355082;5.39299113355082;230.801133858568;11.8011338585677;11.8011338585677;-48.1354997000449;-14.8645002999551;14.8645002999551;282.449918731688;0.449918731687603;0.449918731687603;15.4689968177429;7.46899681774295;7.46899681774295;169.233348045059;12.2333480450592;12.2333480450592;169.505139145423;12.5051391454228;12.5051391454228;3.71551243412465;-5.28448756587535;12.7155124341246;581.706201546653;0.706201546653006;0.706201546653006;78.3714802175911;-1.62851978240894;-1.62851978240894;5.00007332618435;7.33261843501865e-05;7.33261843501865e-05;49.6509366198008;-3.3490633801992;-3.3490633801992;224.555920199979;-5.44407980002083;-5.44407980002083;18.9996390838604;-0.000360916139623413;-0.000360916139623413;18.999628782171;-0.000371217828956105;-0.000371217828956105;206.383387087033;-16.6166129129674;-16.6166129129674
7;SNEV07;open;SNEV07_open;111;103;350;6192;271;-23;294;50;204;204;32;628;99;4;58;285;14;14;263;137.970196644693;26.9701966446935;26.9701966446935;94.5300229076619;-8.46997709233813;-8.46997709233813;341.443510340635;-8.55648965936496;-8.55648965936496;5938.57447021953;-253.425529780474;-253.425529780474;282.743062846669;11.7430628466689;11.7430628466689;14.4895717901181;-8.51042820988192;37.4895717901181;278.082687068911;-15.9173129310895;-15.9173129310895;140.879097016079;90.8790970160791;90.8790970160791;229.51430743938;25.5143074393798;25.5143074393798;233.729701102078;29.7297011020778;29.7297011020778;56.3115638895851;24.3115638895851;24.3115638895851;522.442806543974;-105.557193456026;-105.557193456026;83.3808879968648;-15.6191120031352;-15.6191120031352;5.7857733978731;1.7857733978731;1.7857733978731;44.7036307059647;-13.2963692940353;-13.2963692940353;233.066273273651;-51.9337267263494;-51.9337267263494;23.7183396357939;9.71833963579394;9.71833963579394;24.6200630137273;10.6200630137273;10.6200630137273;134.713773094523;-128.286226905477;-128.286226905477
8;SNEV08;open;SNEV08_open;99;103;352;6157;257;-35;293;37;191;191;20;638;99;4;58;285;14;14;265;130.587773616743;31.5877736167435;31.5877736167435;94.9968264767726;-8.0031735232274;-8.0031735232274;340.577820912187;-11.4221790878126;-11.4221790878126;5933.08348223026;-223.916517769739;-223.916517769739;278.756240473044;21.7562404730444;21.7562404730444;10.3443880785208;-24.6556119214792;45.3443880785208;282.439287796984;-10.5607122030161;-10.5607122030161;120.743979162798;83.7439791627984;83.7439791627984;222.036617251928;31.0366172519281;31.0366172519281;225.172189833933;34.1721898339325;34.1721898339325;51.9929580471331;31.9929580471331;31.9929580471331;537.246173263689;-100.753826736311;-100.753826736311;77.3393155320927;-21.6606844679073;-21.6606844679073;6.07489424412906;2.07489424412906;2.07489424412906;42.941087393596;-15.058912606404;-15.058912606404;215.73076543675;-69.2692345632501;-69.2692345632501;22.9871662347729;8.9871662347729;8.9871662347729;23.0064134261389;9.00641342613889;9.00641342613889;138.971323298636;-126.028676701364;-126.028676701364
9;SNEV09;open;SNEV09_open;109;105;350;6302;272;-27;299;46;204;204;29;615;92;4;58;269;12;12;252;125.29247574747;16.2924757474702;16.2924757474702;99.1219072398097;-5.87809276019034;-5.87809276019034;343.122952991854;-6.87704700814641;-6.87704700814641;6013.02841542439;-288.971584575608;-288.971584575608;280.452251733594;8.45225173359376;8.45225173359376;3.93902679332209;-23.0609732066779;30.9390267933221;290.068141273682;-8.9318587263175;-8.9318587263175;81.0957497755617;35.0957497755617;35.0957497755617;217.699110283981;13.6991102839809;13.6991102839809;218.398211392931;14.3982113929314;14.3982113929314;48.5128047658316;19.5128047658316;19.5128047658316;569.635493371277;-45.364506628723;-45.364506628723;78.2303986616049;-13.7696013383951;-13.7696013383951;6.03380268834899;2.03380268834899;2.03380268834899;46.6838560416447;-11.3161439583553;-11.3161439583553;226.139586688491;-42.8604133115092;-42.8604133115092;24.570534460712;12.570534460712;12.570534460712;24.8238130317485;12.8238130317485;12.8238130317485;185.726225199461;-66.2737748005388;-66.2737748005388
10;SNEV10;open;SNEV10_open;95;104;352;6222;256;-40;296;33;189;189;16;612;91;4;57;265;14;14;249;132.08817056979;37.0881705697897;37.0881705697897;96.687151054623;-7.31284894537698;-7.31284894537698;340.526913650729;-11.4730863492714;-11.4730863492714;5985.92931991311;-236.07068008689;-236.07068008689;280.027745164177;24.0277451641767;24.0277451641767;10.103253786099;-29.896746213901;50.103253786099;293.760248205951;-2.23975179404857;-2.23975179404857;119.114703227446;86.1147032274461;86.1147032274461;224.865602944204;35.865602944204;35.865602944204;225.866414200115;36.8664142001149;36.8664142001149;52.7367605065224;36.7367605065224;36.7367605065224;535.089207692787;-76.9107923072135;-76.9107923072135;72.7625626893946;-18.2374373106054;-18.2374373106054;6.0380027146585;2.0380027146585;2.0380027146585;38.9078101665522;-18.0921898334478;-18.0921898334478;209.997164162683;-55.0028358373174;-55.0028358373174;23.8781378449976;9.87813784499761;9.87813784499761;23.8149496880551;9.81494968805512;9.81494968805512;140.914493637728;-108.085506362272;-108.085506362272
